dg_id,driving_acc,driving_dist,player_name,sg_app,sg_arg,sg_ott,sg_putt,sg_total,last_updated
18417,0.04,8.642,"Scheffler, Scottie",0.899,0.396,0.708,0.568,2.57,2026-03-30 17:23:01 UTC
19195,0.015,12.863,"Rahm, Jon",0.846,0.295,0.81,0.309,2.26,2026-03-30 17:23:01 UTC
10091,-0.011,19.372,"McIlroy, Rory",0.687,0.189,0.936,0.302,2.113,2026-03-30 17:23:01 UTC
19895,-0.002,11.221,"Schauffele, Xander",0.873,0.152,0.614,0.283,1.922,2026-03-30 17:23:01 UTC
17646,0.053,3.011,"Fitzpatrick, Matt",0.771,0.316,0.497,0.29,1.874,2026-03-30 17:23:01 UTC
26651,0.005,11.051,"Young, Cameron",0.592,0.132,0.683,0.442,1.849,2026-03-30 17:23:01 UTC
19841,-0.011,21.253,"DeChambeau, Bryson",0.363,0.085,1.066,0.222,1.736,2026-03-30 17:23:01 UTC
12294,0.067,1.422,"Fleetwood, Tommy",0.661,0.328,0.485,0.242,1.716,2026-03-30 17:23:01 UTC
16841,-0.0,13.014,"Lee, Min Woo",0.363,0.309,0.639,0.396,1.706,2026-03-30 17:23:01 UTC
22085,0.094,1.983,"Morikawa, Collin",0.954,0.052,0.727,-0.042,1.692,2026-03-30 17:23:01 UTC
23950,0.012,12.165,"Aberg, Ludvig",0.591,0.113,0.617,0.287,1.608,2026-03-30 17:23:01 UTC
23323,0.019,3.709,"MacIntyre, Robert",0.216,0.231,0.511,0.638,1.596,2026-03-30 17:23:01 UTC
14578,0.098,-8.38,"Henley, Russell",0.596,0.287,0.284,0.377,1.545,2026-03-30 17:23:01 UTC
14609,0.104,-2.722,"Kim, Si Woo",0.808,0.237,0.655,-0.191,1.51,2026-03-30 17:23:01 UTC
29433,0.006,3.225,"Bridgeman, Jacob",0.345,0.108,0.277,0.684,1.414,2026-03-30 17:23:01 UTC
13562,0.005,-0.885,"Matsuyama, Hideki",0.618,0.451,-0.01,0.281,1.34,2026-03-30 17:23:01 UTC
15466,0.008,4.599,"Cantlay, Patrick",0.564,0.164,0.439,0.165,1.332,2026-03-30 17:23:01 UTC
18634,0.004,6.809,"McNealy, Maverick",0.441,0.17,0.424,0.293,1.328,2026-03-30 17:23:01 UTC
19396,-0.023,13.699,"Knapp, Jake",0.215,0.064,0.399,0.638,1.315,2026-03-30 17:23:01 UTC
26096,0.009,1.259,"Bhatia, Akshay",0.676,0.039,0.167,0.381,1.264,2026-03-30 17:23:01 UTC
23602,-0.039,15.286,"Hojgaard, Nicolai",0.596,0.0,0.387,0.24,1.223,2026-03-30 17:23:01 UTC
27774,-0.042,16.395,"Gotterup, Chris",0.389,0.103,0.549,0.172,1.213,2026-03-30 17:23:01 UTC
29767,0.044,1.292,"Gerard, Ryan",0.723,0.006,0.493,-0.046,1.176,2026-03-30 17:23:01 UTC
18841,0.028,1.052,"Hovland, Viktor",0.725,0.119,0.157,0.143,1.143,2026-03-30 17:23:01 UTC
